id, name, platform, mode, company, year, country, gender
2, Tetris, Arcade, Un jugador, multijugador, The Tetris Company, 1984, Union Sovietica, Puzle
4, Mario Bros., Arcade, Un jugador, multijugador, Nintendo, 1983, EEUU, Plataformas
7, Asteroids, Arcade, Un jugador, multijugador, Atari, Inc., 1979, EEUU, Disparos
9, Out run, Arcade, Un jugador, multijugador, Sega, 1986, Japon, Carreras
11, Galaga, Arcade, Un jugador, multijugador, Namco, 1981, Japon, Matamarcianos
13, Double Dragon, Arcade, Un jugador, multijugador, Taito, 1987, Japon, Peleas contra varios rivales
15, Street Fighter, Arcade, Un jugador, multijugador, Capcom, 1987, Japon, Pelea
16, Uncharted - El tesoro de Drake, Tercera persona, Un jugador, multijugador, Naughty Dog, 2007, EEUU, Accion-aventura
17, Fortnite, Tercera persona, Un jugador, multijugador cooperativo, Epic Games, 2017, EEUU, Supervivencia, Mundo abierto, Battle Royale
18, Fall Guys, Tercera persona, Multijugador, Epic Games, 2020, EEUU, Battle Royale, Plataformas
19, Lego Batman, Tercera persona, Un jugador, Multijugador, Warner Bros. Interactive Entertainment, 2008, EEUU, Accion-aventura
14, Final Fight, Arcade, Un jugador, cooperativo, Capcom, 1989, Japon, Peleas contra varios rivales